secCode,年度,ESGスコア
1430,2022,2.12
1430,2023,3.64
1430,2024,3.91
1430,2025,4.07
1431,2021,1.43
1431,2022,4.66
1431,2023,1.92
1431,2024,1.15
1431,2025,3.22
1432,2021,2.48
1432,2022,4.32
1432,2023,4.23
1432,2024,2.27
1432,2025,4.81
1433,2021,2.16
1433,2022,3.06
1433,2023,2.02
1433,2024,4.74
1433,2025,1.66
1434,2021,1.18
1434,2022,2.74
1434,2023,4.97
1434,2024,4.57
1434,2025,3.99
1435,2021,4.56
1435,2022,4.57
1435,2023,3.08
1435,2024,2.26
1435,2025,4.09
1436,2021,3.65
1436,2022,2.49
1436,2023,1.38
1436,2024,3.99
1436,2025,2.05
1438,2021,4.75
1438,2022,1.96
1438,2023,1.49
1438,2024,4.32
1438,2025,1.61
143A,2021,1.72
143A,2022,3.4
143A,2023,4.5
143A,2024,1.79
143A,2025,2.24
1443,2021,4.11
1443,2022,4.89
1443,2023,3.0
1443,2024,1.58
1443,2025,1.06
1444,2021,1.92
1444,2022,1.53
1444,2023,3.71
1444,2024,1.49
1444,2025,3.03
1445,2021,3.78
1445,2022,3.32
1445,2023,1.8
1445,2024,4.22
1445,2025,3.86
1446,2021,3.96
1446,2022,1.52
1446,2023,1.5
1446,2024,4.71
1446,2025,2.59
1447,2021,2.2
1447,2022,2.95
1447,2023,3.65
1447,2024,4.82
1447,2025,2.15
144A,2021,4.7
144A,2022,1.1
144A,2023,3.22
144A,2024,3.54
144A,2025,1.42
1450,2021,1.56
1450,2022,2.68
1450,2023,4.86
1450,2024,3.38
1450,2025,4.73
1452,2021,4.22
1452,2022,2.87
1452,2023,4.14
1452,2024,1.07
1452,2025,1.44
145A,2021,4.32
145A,2022,4.19
145A,2023,1.93
145A,2024,3.12
145A,2025,3.42
146A,2021,4.47
146A,2022,3.41
146A,2023,2.65
146A,2024,2.5
146A,2025,2.7
147A,2021,3.61
147A,2022,4.47
147A,2023,2.82
147A,2024,1.99
147A,2025,1.95
148A,2021,3.98
148A,2022,4.27
148A,2023,1.42
148A,2024,1.27
148A,2025,3.38
1491,2021,1.58
1491,2022,4.3
1491,2023,2.24
1491,2024,1.58
1491,2025,4.68
149A,2021,1.66
149A,2022,2.14
149A,2023,1.61
149A,2024,1.46
149A,2025,1.08
150A,2021,1.22
150A,2022,1.7
150A,2023,1.21
150A,2024,3.36
150A,2025,3.72
1514,2021,2.57
1514,2022,2.27
1514,2023,3.02
1514,2024,4.5
1514,2025,4.4
1515,2021,1.17
1515,2022,1.73
1515,2023,1.95
1515,2024,2.0
1515,2025,3.28
1518,2021,2.67
1518,2022,1.2
1518,2023,2.49
1518,2024,3.1
1518,2025,1.41
151A,2021,4.33
151A,2022,1.21
151A,2023,4.7
151A,2024,1.4
151A,2025,4.37
152A,2021,4.61
152A,2022,4.92
152A,2023,4.21
152A,2024,4.12
152A,2025,3.57
153A,2021,4.12
153A,2022,1.54
153A,2023,3.14
153A,2024,3.06
153A,2025,4.43
154A,2021,2.85
154A,2022,2.54
154A,2023,3.56
154A,2024,2.07
154A,2025,1.56
155A,2021,2.91
155A,2022,2.67
155A,2023,1.93
155A,2024,2.47
155A,2025,2.47
156A,2021,2.31
156A,2022,2.52
156A,2023,3.74
156A,2024,2.19
156A,2025,4.8
157A,2021,4.67
157A,2022,2.92
157A,2023,2.31
157A,2024,3.14
157A,2025,4.39
158A,2021,3.61
158A,2022,4.22
158A,2023,3.13
158A,2024,3.53
158A,2025,2.15
1605,2021,3.94
1605,2022,1.81
1605,2023,3.78
1605,2024,4.44
1605,2025,1.53
160A,2021,3.46
160A,2022,1.38
160A,2023,3.9
160A,2024,1.34
160A,2025,4.74
161A,2021,1.55
161A,2022,4.84
161A,2023,4.2
161A,2024,3.37
161A,2025,4.13
164A,2021,4.18
164A,2022,4.78
164A,2023,2.01
164A,2024,3.36
164A,2025,1.38
1662,2021,3.46
1662,2022,1.69
1662,2023,3.26
1662,2024,3.29
1662,2025,2.86
1663,2021,3.09
1663,2022,4.06
1663,2023,4.2
1663,2024,2.97
1663,2025,3.4
166A,2021,4.72
166A,2022,1.48
166A,2023,1.47
166A,2024,1.35
166A,2025,3.63
167A,2021,2.67
167A,2022,4.1
167A,2023,3.68
167A,2024,2.33
167A,2025,4.59
168A,2021,4.05
168A,2022,2.08
168A,2023,2.46
168A,2024,2.26
168A,2025,1.63
1711,2021,1.59
1711,2022,4.74
1711,2023,2.75
1711,2024,2.53
1711,2025,3.92
1716,2021,3.21
1716,2022,4.74
1716,2023,4.12
1716,2024,2.92
1716,2025,2.51
1717,2021,4.95
1717,2022,3.87
1717,2023,4.8
1717,2024,1.47
1717,2025,4.4
1718,2021,3.55
1718,2022,1.49
1718,2023,3.35
1718,2024,3.74
1718,2025,1.05
1719,2021,2.82
1719,2022,4.3
1719,2023,2.18
1719,2024,2.83
1719,2025,2.77
171A,2021,2.21
171A,2022,4.67
171A,2023,4.13
171A,2024,1.44
171A,2025,4.99
1720,2021,4.52
1720,2022,2.14
1720,2023,4.35
1720,2024,1.43
1720,2025,5.0
1721,2021,3.66
1721,2022,3.6
1721,2023,1.36
1721,2024,4.59
1721,2025,1.12
1723,2021,1.96
1723,2022,1.57
1723,2023,4.11
1723,2024,1.79
1723,2025,4.64
1724,2021,3.63
1724,2022,1.14
1724,2023,1.02
1724,2024,1.21
1724,2025,3.42
1726,2021,4.21
1726,2022,1.95
1726,2023,4.4
1726,2024,1.23
1726,2025,4.2
172A,2021,4.71
172A,2022,4.09
172A,2023,3.79
172A,2024,4.35
172A,2025,1.16
1736,2021,1.81
1736,2022,1.5
1736,2023,3.02
1736,2024,3.98
1736,2025,3.52
173A,2021,4.4
173A,2022,1.62
173A,2023,3.94
173A,2024,1.77
173A,2025,2.08
1758,2021,3.84
1758,2022,4.92
1758,2023,3.45
1758,2024,1.22
1758,2025,3.47
175A,2021,1.17
175A,2022,4.54
175A,2023,3.84
175A,2024,1.69
175A,2025,1.37
1762,2021,1.73
1762,2022,4.92
1762,2023,2.83
1762,2024,4.14
1762,2025,3.55
1764,2021,3.29
1764,2022,1.58
1764,2023,4.78
1764,2024,2.21
1764,2025,3.31
1766,2021,3.8
1766,2022,3.6
1766,2023,4.76
1766,2024,1.59
1766,2025,3.03
1768,2021,2.62
1768,2022,2.9
1768,2023,1.48
1768,2024,1.54
1768,2025,2.11
1770,2021,2.22
1770,2022,2.71
1770,2023,3.44
1770,2024,3.54
1770,2025,2.65
1773,2021,2.64
1773,2022,1.87
1773,2023,3.35
1773,2024,2.27
1773,2025,1.14
177A,2021,2.67
177A,2022,2.9
177A,2023,1.9
177A,2024,3.29
177A,2025,3.26
1780,2021,3.81
1780,2022,3.59
1780,2023,3.61
1780,2024,2.26
1780,2025,4.15
1783,2021,3.2
1783,2022,2.73
1783,2023,3.5
1783,2024,2.44
1783,2025,3.05
1786,2021,3.95
1786,2022,4.55
1786,2023,4.68
1786,2024,3.01
1786,2025,3.08
1787,2021,4.2
1787,2022,2.26
1787,2023,4.35
1787,2024,2.98
1787,2025,1.46
1788,2021,1.29
1788,2022,4.37
1788,2023,1.22
1788,2024,2.12
1788,2025,2.34
1793,2021,1.69
1793,2022,2.26
1793,2023,3.97
1793,2024,1.06
1793,2025,4.31
1795,2021,4.43
1795,2022,2.49
1795,2023,1.61
1795,2024,3.4
1795,2025,1.48
1798,2021,2.46
1798,2022,4.83
1798,2023,4.98
1798,2024,4.09
1798,2025,2.24
1799,2021,3.75
1799,2022,3.82
1799,2023,2.55
1799,2024,3.56
1799,2025,1.04
1801,2021,1.84
1801,2022,3.1
1801,2023,1.66
1801,2024,1.66
1801,2025,4.35
1802,2021,4.96
1802,2022,3.22
1802,2023,4.36
1802,2024,4.96
1802,2025,1.57
1803,2021,2.79
1803,2022,2.57
1803,2023,1.32
1803,2024,4.02
1803,2025,2.74
1807,2021,2.88
1807,2022,1.6
1807,2023,1.72
1807,2024,4.63
1807,2025,1.18
1808,2021,1.93
1808,2022,2.17
1808,2023,2.96
1808,2024,3.35
1808,2025,2.97
1810,2021,1.34
1810,2022,1.97
1810,2023,4.37
1810,2024,3.55
1810,2025,3.6
1811,2021,3.68
1811,2022,4.05
1811,2023,1.23
1811,2024,2.47
1811,2025,3.16
1812,2021,2.35
1812,2022,4.38
1812,2023,2.93
1812,2024,4.07
1812,2025,4.41
1813,2021,3.02
1813,2022,4.64
1813,2023,3.35
1813,2024,4.4
1813,2025,2.36
1814,2021,3.0
1814,2022,3.13
1814,2023,1.42
1814,2024,2.59
1814,2025,4.67
1815,2021,3.52
1815,2022,1.71
1815,2023,2.36
1815,2024,1.77
1815,2025,1.1
1820,2021,4.71
1820,2022,2.79
1820,2023,2.23
1820,2024,3.39
1820,2025,1.03
1822,2021,2.11
1822,2022,3.81
1822,2023,3.54
1822,2024,4.93
1822,2025,3.48
1826,2021,2.91
1826,2022,4.05
1826,2023,4.61
1826,2024,3.88
1826,2025,4.85
1827,2021,4.13
1827,2022,4.47
1827,2023,1.46
1827,2024,3.93
1827,2025,2.76
1828,2021,3.21
1828,2022,3.62
1828,2023,4.88
1828,2024,4.94
1828,2025,2.15
1833,2021,3.94
1833,2022,4.0
1833,2023,2.39
1833,2024,1.5
1833,2025,1.16
1835,2021,4.11
1835,2022,2.96
1835,2023,4.94
1835,2024,2.86
1835,2025,4.91
1840,2021,2.65
1840,2022,4.17
1840,2023,1.34
1840,2024,3.22
1840,2025,4.21
1844,2021,4.7
1844,2022,4.29
1844,2023,1.15
1844,2024,2.49
1844,2025,1.19
1847,2021,1.44
1847,2022,3.7
1847,2023,3.85
1847,2024,4.09
1847,2025,4.46
1848,2021,3.96
1848,2022,4.2
1848,2023,1.2
1848,2024,1.94
1848,2025,3.49
184A,2021,4.43
184A,2022,1.02
184A,2023,3.06
184A,2024,3.71
184A,2025,1.12
1850,2021,2.61
1850,2022,4.58
1850,2023,3.69
1850,2024,1.95
1850,2025,4.41
1852,2021,2.39
1852,2022,4.41
1852,2023,2.2
1852,2024,3.36
1852,2025,2.59
1853,2021,2.1
1853,2022,4.55
1853,2023,1.75
1853,2024,1.34
1853,2025,2.37
185A,2021,3.87
185A,2022,4.23
185A,2023,4.99
185A,2024,2.19
185A,2025,2.63
1860,2021,1.55
1860,2022,3.3
1860,2023,4.99
1860,2024,3.8
1860,2025,3.38
1861,2021,2.57
1861,2022,4.66
1861,2023,2.99
1861,2024,1.54
1861,2025,2.46
1866,2021,1.27
1866,2022,1.81
1866,2023,1.07
1866,2024,2.81
1866,2025,3.54
1867,2021,2.37
1867,2022,2.68
1867,2023,4.84
1867,2024,4.01
1867,2025,3.16
186A,2021,2.14
186A,2022,4.59
186A,2023,1.94
186A,2024,2.3
186A,2025,4.64
1870,2021,3.12
1870,2022,3.97
1870,2023,3.36
1870,2024,3.61
1870,2025,2.2
1871,2021,1.97
1871,2022,2.29
1871,2023,1.62
1871,2024,4.5
1871,2025,2.13
1873,2021,3.25
1873,2022,4.17
1873,2023,4.14
1873,2024,2.75
1873,2025,2.91
1878,2021,4.98
1878,2022,3.7
1878,2023,4.26
1878,2024,4.61
1878,2025,4.15
1879,2021,1.74
1879,2022,3.25
1879,2023,1.41
1879,2024,3.61
1879,2025,4.82
1882,2021,3.05
1882,2022,2.73
1882,2023,1.14
1882,2024,4.84
1882,2025,1.41
1885,2021,1.16
1885,2022,1.98
1885,2023,1.26
1885,2024,2.82
1885,2025,3.06
1887,2021,2.25
1887,2022,1.2
1887,2023,1.45
1887,2024,2.54
1887,2025,1.24
1888,2021,3.79
1888,2022,1.83
1888,2023,2.21
1888,2024,2.58
1888,2025,2.67
1893,2021,1.01
1893,2022,1.45
1893,2023,4.45
1893,2024,1.0
1893,2025,3.03
1897,2021,2.96
1897,2022,2.33
1897,2023,2.73
1897,2024,4.12
1897,2025,4.36
1898,2021,2.04
1898,2022,2.29
1898,2023,1.97
1898,2024,2.92
1898,2025,3.73
1899,2021,1.91
1899,2022,2.32
1899,2023,4.72
1899,2024,1.19
1899,2025,2.84
189A,2021,3.85
189A,2022,1.6
189A,2023,1.19
189A,2024,1.55
189A,2025,4.68
1904,2021,1.04
1904,2022,1.75
1904,2023,1.13
1904,2024,1.44
1904,2025,3.48
1905,2021,1.97
1905,2022,3.28
1905,2023,3.36
1905,2024,4.4
1905,2025,1.02
1909,2021,4.41
1909,2022,3.48
1909,2023,1.65
1909,2024,4.09
1909,2025,4.42
190A,2021,2.02
190A,2022,4.68
190A,2023,2.82
190A,2024,3.41
190A,2025,4.94
1911,2021,2.45
1911,2022,4.25
1911,2023,2.27
1911,2024,4.2
1911,2025,3.4
1914,2021,1.87
1914,2022,2.66
1914,2023,2.27
1914,2024,1.31
1914,2025,1.12
191A,2021,2.39
191A,2022,1.08
191A,2023,1.66
191A,2024,3.9
191A,2025,3.83
1921,2021,3.95
1921,2022,2.27
1921,2023,4.56
1921,2024,3.38
1921,2025,1.5
1925,2021,1.57
1925,2022,3.77
1925,2023,1.69
1925,2024,3.03
1925,2025,4.97
1926,2021,1.02
1926,2022,1.07
1926,2023,4.97
1926,2024,3.34
1926,2025,1.51
1928,2021,4.59
1928,2022,4.52
1928,2023,3.14
1928,2024,3.49
1928,2025,2.09
1929,2021,1.2
1929,2022,3.38
1929,2023,2.18
1929,2024,3.65
1929,2025,4.34
192A,2021,1.07
192A,2022,3.38
192A,2023,1.93
192A,2024,4.5
192A,2025,2.01
1930,2021,3.44
1930,2022,3.21
1930,2023,2.58
1930,2024,3.71
1930,2025,3.9
1934,2021,3.27
1934,2022,4.03
1934,2023,4.93
1934,2024,2.68
1934,2025,3.06
1938,2021,1.05
1938,2022,4.18
1938,2023,3.08
1938,2024,2.63
1938,2025,1.38
1939,2021,4.56
1939,2022,2.58
1939,2023,3.73
1939,2024,1.6
1939,2025,4.85
1941,2021,1.71
1941,2022,1.8
1941,2023,4.44
1941,2024,4.65
1941,2025,1.85
1942,2021,2.88
1942,2022,3.93
1942,2023,4.51
1942,2024,2.52
1942,2025,3.07
1944,2021,3.97
1944,2022,3.92
1944,2023,4.13
1944,2024,3.28
1944,2025,1.42
1945,2021,4.62
1945,2022,4.46
1945,2023,4.19
1945,2024,1.4
1945,2025,1.82
1946,2021,3.97
1946,2022,1.09
1946,2023,4.92
1946,2024,2.51
1946,2025,3.88
1948,2021,4.55
1948,2022,2.58
1948,2023,2.28
1948,2024,3.43
1948,2025,3.32
194A,2021,2.64
194A,2022,3.41
194A,2023,4.74
194A,2024,2.87
194A,2025,1.79
1950,2021,2.51
1950,2022,2.58
1950,2023,1.52
1950,2024,1.65
1950,2025,3.74
1951,2021,2.36
1951,2022,4.82
1951,2023,1.97
1951,2024,1.4
1951,2025,4.01
1952,2021,4.52
1952,2022,2.11
1952,2023,1.81
1952,2024,1.74
1952,2025,3.09
1959,2021,2.87
1959,2022,2.04
1959,2023,1.18
1959,2024,2.93
1959,2025,4.84
195A,2021,3.61
195A,2022,2.98
195A,2023,1.44
195A,2024,2.01
195A,2025,2.18
1960,2021,4.06
1960,2022,4.51
1960,2023,4.61
1960,2024,4.94
1960,2025,4.93
1961,2021,4.81
1961,2022,1.29
1961,2023,1.55
1961,2024,2.22
1961,2025,3.21
1963,2021,1.39
1963,2022,4.38
1963,2023,3.47
1963,2024,3.17
1963,2025,1.66
1964,2021,2.01
1964,2022,1.64
1964,2023,4.41
1964,2024,3.34
1964,2025,3.94
1965,2021,2.18
1965,2022,2.49
1965,2023,2.62
1965,2024,4.04
1965,2025,4.09
1966,2021,1.83
1966,2022,4.77
1966,2023,1.48
1966,2024,4.58
1966,2025,1.4
1967,2021,2.06
1967,2022,4.39
1967,2023,1.72
1967,2024,2.65
1967,2025,2.8
1968,2021,1.98
1968,2022,3.84
1968,2023,4.41
1968,2024,4.5
1968,2025,2.36
1969,2021,3.12
1969,2022,1.99
1969,2023,1.98
1969,2024,1.65
1969,2025,4.76
196A,2021,4.55
196A,2022,4.11
196A,2023,3.07
196A,2024,2.96
196A,2025,3.12
1972,2021,3.15
1972,2022,2.74
1972,2023,1.53
1972,2024,1.5
1972,2025,4.81
1975,2021,2.93
1975,2022,4.81
1975,2023,1.65
1975,2024,3.22
1975,2025,1.83
1976,2021,2.01
1976,2022,1.12
1976,2023,1.48
1976,2024,4.67
1976,2025,2.29
1979,2021,3.43
1979,2022,2.86
1979,2023,2.6
1979,2024,3.13
1979,2025,1.75
197A,2021,4.95
197A,2022,4.27
197A,2023,3.97
197A,2024,2.88
197A,2025,1.61
1980,2021,4.68
1980,2022,2.37
1980,2023,1.2
1980,2024,2.37
1980,2025,4.18
1981,2021,3.49
1981,2022,4.0
1981,2023,4.17
1981,2024,1.85
1981,2025,4.7
1982,2021,2.75
1982,2022,3.56
1982,2023,1.01
1982,2024,4.97
1982,2025,2.12
198A,2021,1.25
198A,2022,2.83
198A,2023,1.52
198A,2024,1.61
198A,2025,3.53
1992,2021,2.57
1992,2022,4.69
1992,2023,2.28
1992,2024,3.9
1992,2025,2.84
1994,2021,3.64
1994,2022,3.4
1994,2023,2.89
1994,2024,4.8
1994,2025,2.37
1997,2021,1.71
1997,2022,3.71
1997,2023,4.38
1997,2024,1.16
1997,2025,2.8
199A,2021,4.57
199A,2022,4.0
199A,2023,4.97
199A,2024,3.13
199A,2025,3.64
2001,2021,2.21
2001,2022,4.79
2001,2023,2.47
2001,2024,3.95
2001,2025,2.61
2002,2021,3.25
2002,2022,3.88
2002,2023,3.04
2002,2024,4.63
2002,2025,2.68
2003,2021,3.59
2003,2022,2.37
2003,2023,2.63
2003,2024,2.76
2003,2025,1.5
2004,2021,1.37
2004,2022,3.67
2004,2023,3.62
2004,2024,3.65
2004,2025,1.08
2009,2021,2.31
2009,2022,1.79
2009,2023,4.11
2009,2024,4.44
2009,2025,1.99
203A,2021,3.67
203A,2022,1.52
203A,2023,2.1
203A,2024,1.55
203A,2025,2.13
204A,2021,3.7
204A,2022,4.64
204A,2023,1.81
204A,2024,3.17
204A,2025,3.81
2053,2021,4.81
2053,2022,3.44
2053,2023,2.02
2053,2024,3.5
2053,2025,2.28
2055,2021,4.9
2055,2022,2.6
2055,2023,3.74
2055,2024,1.09
2055,2025,2.6
205A,2021,4.5
205A,2022,3.44
205A,2023,2.78
205A,2024,4.74
205A,2025,4.42
2060,2021,2.29
2060,2022,3.18
2060,2023,2.96
2060,2024,3.53
2060,2025,2.34
206A,2021,1.98
206A,2022,4.65
206A,2023,4.7
206A,2024,4.37
206A,2025,4.91
207A,2021,3.98
207A,2022,4.06
207A,2023,4.05
207A,2024,2.92
207A,2025,2.83
208A,2021,1.96
208A,2022,3.58
208A,2023,2.16
208A,2024,2.03
208A,2025,3.34
209A,2021,2.64
209A,2022,1.88
209A,2023,4.26
209A,2024,4.44
209A,2025,1.67
2108,2021,1.03
2108,2022,2.34
2108,2023,4.19
2108,2024,4.36
2108,2025,1.55
2109,2021,4.1
2109,2022,1.46
2109,2023,2.56
2109,2024,4.99
2109,2025,1.77
2112,2021,1.62
2112,2022,2.69
2112,2023,3.48
2112,2024,4.73
2112,2025,4.92
2114,2021,1.28
2114,2022,1.55
2114,2023,4.16
2114,2024,2.08
2114,2025,4.54
2117,2021,3.65
2117,2022,1.45
2117,2023,4.33
2117,2024,1.71
2117,2025,2.69
211A,2021,3.21
211A,2022,3.0
211A,2023,3.74
211A,2024,3.61
211A,2025,4.97
2120,2021,5.0
2120,2022,3.07
2120,2023,1.38
2120,2024,3.91
2120,2025,4.91
2121,2021,2.27
2121,2022,2.84
2121,2023,2.7
2121,2024,1.21
2121,2025,3.69
2122,2021,2.41
2122,2022,4.15
2122,2023,4.33
2122,2024,4.28
2122,2025,2.67
2124,2021,2.29
2124,2022,4.0
2124,2023,4.21
2124,2024,2.97
2124,2025,4.57
2127,2021,1.58
2127,2022,4.52
2127,2023,1.38
2127,2024,1.61
2127,2025,3.14
212A,2021,1.27
212A,2022,1.21
212A,2023,1.0
212A,2024,2.75
212A,2025,4.1
2130,2021,1.14
2130,2022,3.61
2130,2023,4.29
2130,2024,1.67
2130,2025,1.59
2134,2021,4.44
2134,2022,4.29
2134,2023,3.16
2134,2024,4.28
2134,2025,1.37
2136,2021,2.58
2136,2022,3.95
2136,2023,2.03
2136,2024,4.01
2136,2025,3.02
2138,2021,4.0
2138,2022,2.86
2138,2023,2.47
2138,2024,1.88
2138,2025,1.83
2139,2021,4.01
2139,2022,1.48
2139,2023,1.34
2139,2024,1.71
2139,2025,1.7
2146,2021,4.29
2146,2022,2.59
2146,2023,4.96
2146,2024,1.55
2146,2025,3.61
2148,2021,2.79
2148,2022,2.57
2148,2023,4.5
2148,2024,4.9
2148,2025,4.49
2152,2021,1.77
2152,2022,1.88
2152,2023,3.62
2152,2024,2.16
2152,2025,3.94
2153,2021,3.27
2153,2022,3.2
2153,2023,4.31
2153,2024,3.84
2153,2025,1.11
2154,2021,1.2
2154,2022,3.41
2154,2023,2.94
2154,2024,2.04
2154,2025,2.67
2156,2021,4.03
2156,2022,4.31
2156,2023,3.24
2156,2024,2.54
2156,2025,2.08
2157,2021,3.09
2157,2022,2.26
2157,2023,3.26
2157,2024,3.71
2157,2025,1.26
2158,2021,1.0
2158,2022,1.85
2158,2023,4.58
2158,2024,3.59
2158,2025,1.69
215A,2021,4.56
215A,2022,2.88
215A,2023,2.9
215A,2024,4.74
215A,2025,1.24
2160,2021,1.86
2160,2022,3.34
2160,2023,1.78
2160,2024,3.72
2160,2025,1.86
2162,2021,1.4
2162,2022,1.83
2162,2023,2.69
2162,2024,1.7
2162,2025,1.54
2163,2021,4.44
2163,2022,2.28
2163,2023,2.44
2163,2024,1.22
2163,2025,2.43
2164,2021,2.06
2164,2022,3.44
2164,2023,1.82
2164,2024,4.55
2164,2025,4.72
2168,2021,1.4
2168,2022,1.43
2168,2023,1.46
2168,2024,3.48
2168,2025,1.49
2169,2021,4.41
2169,2022,4.02
2169,2023,4.28
2169,2024,3.1
2169,2025,4.99
216A,2021,1.18
216A,2022,2.61
216A,2023,2.3
216A,2024,4.79
216A,2025,3.31
2170,2021,4.22
2170,2022,1.68
2170,2023,4.91
2170,2024,2.99
2170,2025,2.97
2173,2021,4.88
2173,2022,2.52
2173,2023,2.59
2173,2024,3.34
2173,2025,1.51
2175,2021,2.28
2175,2022,1.77
2175,2023,1.41
2175,2024,4.46
2175,2025,3.36
2179,2021,2.43
2179,2022,2.63
2179,2023,2.73
2179,2024,3.53
2179,2025,4.71
217A,2021,4.73
217A,2022,2.57
217A,2023,2.32
217A,2024,2.8
217A,2025,3.27
2180,2021,2.85
2180,2022,3.64
2180,2023,3.22
2180,2024,2.28
2180,2025,2.38
2181,2021,2.51
2181,2022,1.38
2181,2023,1.66
2181,2024,3.89
2181,2025,2.56
2183,2021,1.86
2183,2022,3.25
2183,2023,4.02
2183,2024,2.03
2183,2025,4.31
2185,2021,4.71
2185,2022,3.39
2185,2023,3.68
2185,2024,1.21
2185,2025,4.78
2186,2021,2.57
2186,2022,4.7
2186,2023,3.32
2186,2024,1.02
2186,2025,1.15
218A,2021,3.72
218A,2022,3.25
218A,2023,1.11
218A,2024,3.97
218A,2025,4.41
2193,2021,2.99
2193,2022,2.86
2193,2023,1.02
2193,2024,4.15
2193,2025,2.32
2195,2021,4.52
2195,2022,2.49
2195,2023,3.26
2195,2024,2.08
2195,2025,1.64
2198,2021,4.1
2198,2022,2.99
2198,2023,3.15
2198,2024,4.86
2198,2025,4.85
219A,2021,4.42
219A,2022,1.75
219A,2023,3.38
219A,2024,4.51
219A,2025,2.5
2201,2021,1.4
2201,2022,4.24
2201,2023,2.93
2201,2024,3.26
2201,2025,4.93
2204,2021,3.43
2204,2022,2.7
2204,2023,2.48
2204,2024,2.67
2204,2025,1.47
2206,2021,4.18
2206,2022,4.35
2206,2023,2.14
2206,2024,2.22
2206,2025,4.5
2207,2021,1.1
2207,2022,3.08
2207,2023,2.85
2207,2024,3.76
2207,2025,1.65
2208,2021,3.67
2208,2022,2.51
2208,2023,3.47
2208,2024,1.16
2208,2025,2.85
2209,2021,3.09
2209,2022,1.86
2209,2023,1.56
2209,2024,1.75
2209,2025,2.38
220A,2021,1.39
220A,2022,4.79
220A,2023,2.62
220A,2024,4.24
220A,2025,4.9
2211,2021,1.32
2211,2022,3.61
2211,2023,4.49
2211,2024,3.54
2211,2025,2.72
2212,2021,2.72
2212,2022,1.14
2212,2023,3.14
2212,2024,4.97
2212,2025,4.83
2215,2021,1.16
2215,2022,3.82
2215,2023,2.21
2215,2024,4.61
2215,2025,1.18
2216,2021,4.74
2216,2022,4.35
2216,2023,1.47
2216,2024,1.24
2216,2025,4.34
2217,2021,1.62
2217,2022,3.14
